--- ALL SCHOOLS ---
ID: b1a677ae-f570-4d50-adcb-7612044c842f, Name: EduTrack Primary School
ID: 45b3c01d-ba47-41a8-915a-6207b4eca8bb, Name: Test School
ID: bb28e69a-db8e-46b7-bf6b-c47eed701fec, Name: Fallback School
ID: 3d206232-a221-4fc3-a641-4996d7526318, Name: Teacher School
ID: 195dc1c7-5970-4296-9db1-ce20cab2f438, Name: Teacher School
ID: 6c826010-e329-4ae2-b622-bc90b4e124a8, Name: Teacher School
ID: d45a08ff-cf31-4100-8b4f-d010c6bffc0f, Name: Teacher School
ID: 89f9ab24-d445-4b59-86c8-13affadfca2c, Name: Teacher School
ID: 8d745a31-2cc6-4a32-82fa-0f11f6247366, Name: Teacher School
ID: 0c156ccf-ca5d-4645-9077-0bdb4df1cb94, Name: Test School
ID: d9dee6da-ebff-4c44-9069-21678f0bc729, Name: Fallback School
ID: e04c2384-08db-4858-8ead-f11e09e10d8c, Name: Teacher School
ID: 24096319-4c4d-486f-b347-b5f2532d6133, Name: Teacher School
ID: 0eb9e713-8878-4866-a67d-e10c6265df6f, Name: Teacher School
ID: 9ae29b9f-1ca3-4779-b28e-e41322ccbfa6, Name: Teacher School
ID: d64662f6-51e0-4b9b-b27c-364c9ebaf960, Name: Teacher School
ID: a4a96c58-4808-4088-995d-53a135dcf9f9, Name: Teacher School
ID: b631bc0f-bf29-4d83-9b40-4f74577b7717, Name: Teacher School
ID: 7cf15af5-1bf5-4465-9eca-d4195ef5fb5c, Name: Teacher School
ID: 00d7984b-a3d9-41e2-8391-d62aa35a9b4f, Name: Teacher School
ID: 8e5be980-b044-4915-a7f1-535860087ad4, Name: Teacher School
ID: e70f4561-b611-4eae-80e7-c6fcb47fe090, Name: Teacher School
ID: 51d3aa02-fc50-4e02-8d53-ea19094035a2, Name: Test School
ID: 7c166329-576e-4928-83d1-3fc20df2f359, Name: Fallback School
ID: 55dacf80-c84c-486f-8631-68ee76c0ecd8, Name: Teacher School
ID: 79d71786-d88f-4cc2-88e3-fba93baa57b9, Name: Teacher School
ID: 54a51d58-0722-4edc-92f8-33a704c1aaa4, Name: Teacher School
ID: 916a575f-4b74-4ebb-982d-60fb53a2f843, Name: Teacher School
ID: fe6ffe4b-0840-47ff-a68b-3c3e289fb506, Name: Teacher School
ID: bf35c4ce-9261-425a-809b-fd9c1d5b2b87, Name: Teacher School
ID: a4eb70cf-aaee-4777-aa69-ffa3d5fd55f3, Name: Test School
ID: cdd62aeb-6b6f-4e6b-b207-6011f7711a0d, Name: Fallback School
ID: d0470945-8a6d-4141-97af-ed351fbd73a6, Name: Teacher School
ID: 873ef209-e617-412f-82cd-d57282ac905b, Name: Teacher School
ID: dc4769de-dcff-4561-9fdf-e7fd77376d21, Name: Teacher School
ID: 91510c4a-b64f-4b83-a9e6-d4cb80e26564, Name: Teacher School
ID: ca070486-e3bd-4ddd-b440-aeeb7a92e408, Name: Teacher School
ID: f3bc7962-37d1-4d57-9ce4-bf143de3d481, Name: Teacher School
ID: 8de6cb95-78df-4800-b47b-7c459d052d6a, Name: Test School
ID: e67a1146-cae0-49bd-abb5-1508a36942d6, Name: Fallback School
ID: ae82e971-9f82-4d93-b441-7ed2178e0049, Name: Teacher School
ID: 6d9f931f-df2b-49de-b422-7167ef02bbc6, Name: Teacher School
ID: 81189eb9-7c3a-4409-b69e-fbcde7940f89, Name: Teacher School
ID: 2e93a0d9-e011-47b5-80eb-a937e42b2e20, Name: Teacher School
ID: 983c9f28-4a9f-42e3-9dfb-7d4fbcca12a4, Name: Teacher School
ID: a6df4c0c-394e-45d6-99c3-b2228366df50, Name: Teacher School
ID: 1eb961e6-e4f5-4cf8-9112-52630fe0166f, Name: Test School
ID: 8110fa5d-ab73-4d2c-bf0c-520b3116a708, Name: Fallback School
ID: ad907777-1f4e-428f-a096-89e41a72fcba, Name: Teacher School
ID: 6a2d5231-1aae-4caa-a2a9-7a1ea8bbc894, Name: Teacher School
ID: 4bf04ce9-ff20-4056-b5a7-5942542d1704, Name: Teacher School
ID: 1ddc683d-576e-432b-86d4-fa9dde5e86da, Name: Teacher School
ID: 3630b3a2-b048-4cec-97c4-d3d1060d0628, Name: Teacher School
ID: 393ef04b-e487-4769-b223-494c80285264, Name: Teacher School
ID: 84d1b9eb-dfb7-467b-8918-c5b8b2b1aec1, Name: Test School
ID: 1c9c267f-3131-49fb-8909-dba1fafb216c, Name: Fallback School
ID: b930578f-fea8-4999-add1-53dfa837b6d8, Name: Teacher School
ID: c732d247-fc33-4843-bb72-d6c87e2a6d45, Name: Teacher School
ID: a520d446-09e7-4172-a178-1178351e3c88, Name: Teacher School
ID: 4c007afa-4b1a-4269-be2b-951ed92e61cc, Name: Teacher School
ID: c90c469f-1b4d-415c-8012-4426a09e4816, Name: Teacher School
ID: b0359bc7-7f81-477f-aced-dd1989b18509, Name: Teacher School
ID: 312c7f5e-cee9-49b0-af1f-6fa313bf2dc1, Name: Teacher School
ID: 518ca49f-e090-461f-b77e-b7e0aa34df3d, Name: Teacher School
ID: bf5c3e59-ee34-461f-9b9a-4d2901dcc913, Name: Teacher School
ID: 20dc00f6-734c-415f-b1e2-fff0eb0a163d, Name: Test School
ID: 10ee0af7-584c-441d-b428-c4229310f6cb, Name: Fallback School
ID: aaa48512-da8f-441c-8b6d-9e494350a574, Name: Teacher School
ID: bd596df3-9bac-4a02-98e7-e0518b2358a6, Name: Teacher School
ID: 6c001c50-4a09-4a0c-b7b0-cddec337cce3, Name: Teacher School
ID: 5ffd970c-423c-45cf-8f48-44a501afb654, Name: Teacher School
ID: 82bae912-97d5-4f7c-b926-122c9dea1d6b, Name: Teacher School
ID: 71c30458-5495-4285-b4d4-db2eccac9558, Name: Teacher School
ID: 5546ddc3-03c2-499c-a1cb-e1c4d09f610b, Name: Teacher School
ID: 4fe13e42-bfe7-4f5d-af0a-010cde97cf33, Name: Teacher School
ID: a8cc7bda-002d-471e-8786-770b73d7aab0, Name: Teacher School
ID: bc38bea4-2847-4f61-9c2e-476bee9e23b5, Name: Teacher School
ID: dbc0fcbb-eda1-45a7-b1d6-c85e2c97341e, Name: Ajay

--- ALL USERS ---
Username: admin, School: EduTrack Primary School
Username: manual_8d5d9007, School: Manual School
Username: admin_f250bc32, School: Test School
Username: fallback_c1e956c6, School: Fallback School
Username: regflow_e16cb9a8, School: Flow School
Username: regflow2_4bd05089, School: Flow School 2
Username: admin_7a63b03f, School: Test School
Username: fallback_a152fedb, School: Fallback School
Username: regflow3_df8b7242, School: Flow School 3
Username: admin_66305165, School: Test School
Username: fallback_2aa9a6ca, School: Fallback School
Username: cors_2fb324e9, School: Cors School
Username: akshara_school, School: Ajay
Username: admin_6a48b2cb, School: Test School
Username: fallback_ce00ad04, School: Fallback School
Username: admin_42000c66, School: Teacher School
Username: teacher_updated_a9ed1be3, School: Teacher School
Username: admin_c3d71e36, School: Teacher School
Username: conflict_430509c4, School: Teacher School
Username: admin_55959f08, School: Test School
Username: fallback_a6ffde2e, School: Fallback School
Username: admin_1d3c9d4e, School: Teacher School
Username: teacher_updated_6f65fb8e, School: Teacher School
Username: admin_d7b2947d, School: Teacher School
Username: conflict_788481f4, School: Teacher School
Username: admin_9fc81653, School: Test School
Username: fallback_e561a14c, School: Fallback School
Username: admin_8c46bc47, School: Teacher School
Username: teacher_updated_fa302d00, School: Teacher School
Username: admin_2358343c, School: Teacher School
Username: conflict_50aa4bd3, School: Teacher School
Username: admin_2bf93a22, School: Test School
Username: fallback_4033801f, School: Fallback School
Username: admin_c20d7544, School: Teacher School
Username: teacher_updated_4a26507d, School: Teacher School
Username: admin_2f367fb8, School: Teacher School
Username: conflict_00bca7b9, School: Teacher School
Username: admin_08c6a1cd, School: Teacher School
Username: conflict_b09f42bc, School: Teacher School
Username: admin_7f13f87f, School: Test School
Username: fallback_d4208c29, School: Fallback School
Username: admin_02f125bf, School: Teacher School
Username: teacher_updated_1764b001, School: Teacher School
Username: admin_0354ef31, School: Teacher School
Username: conflict_a90081fd, School: Teacher School
Username: teacher_b1fbc495, School: EduTrack Primary School
Username: admin_63af946a, School: Test School
Username: fallback_8a5a4c76, School: Fallback School
Username: admin_952ed7b5, School: Teacher School
Username: teacher_updated_204311fe, School: Teacher School
Username: admin_a19722e0, School: Teacher School
Username: conflict_47e74391, School: Teacher School
Username: admin_5878aeb3, School: Test School
Username: fallback_67a9eb62, School: Fallback School
Username: admin_e06af951, School: Teacher School
Username: teacher_updated_35f1b0c9, School: Teacher School
Username: admin_2269fe91, School: Teacher School
Username: conflict_6b7b2ea6, School: Teacher School
Username: admin_301084d9, School: Test School
Username: fallback_4550a389, School: Fallback School
Username: admin_e64fa50a, School: Teacher School
Username: teacher_updated_892ce0b0, School: Teacher School
Username: admin_67ba3a9e, School: Teacher School
Username: conflict_347598b6, School: Teacher School
Username: admin_1f30eb25, School: Teacher School
Username: admin_ab964f32, School: Test School
Username: fallback_5bd63121, School: Fallback School
Username: admin_aebcc013, School: Teacher School
Username: teacher_updated_e2843341, School: Teacher School
Username: admin_c07c19d1, School: Teacher School
Username: conflict_47a19710, School: Teacher School
Username: admin_d63a1ff6, School: Teacher School
Username: admin_4cb02e2c, School: Teacher School
Username: admin_4c6c9196, School: Test School
Username: fallback_d5d0c1a6, School: Fallback School
Username: admin_5861fd3d, School: Teacher School
Username: teacher_updated_fd3d1974, School: Teacher School
Username: admin_fcd585a0, School: Teacher School
Username: conflict_648f746d, School: Teacher School
Username: admin_b01ca23b, School: Teacher School
Username: admin_7546cbff, School: Teacher School
Username: admin_48074866, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_747d0104, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_adcf33ed, School: Test School
Username: fallback_46760697, School: Fallback School
Username: admin_7b90cda2, School: Teacher School
Username: teacher_updated_6937f84b, School: Teacher School
Username: admin_762d6e4f, School: Teacher School
Username: conflict_be930f70, School: Teacher School
Username: admin_623f9fda, School: Teacher School
Username: admin_6d481fab, School: Teacher School
Username: admin_e85fa3c9, School: Teacher School
Username: admin_48dcee0d, School: Teacher School
Username: admin_3d6a11d0, School: Teacher School
Username: admin_3312e2e6, School: Teacher School
Username: admin_b797f499, School: Teacher School
Username: admin_98f42f6b, School: Teacher School
Username: admin_9e7e8154, School: Teacher School
Username: admin_a9a0321a, School: Test School
Username: fallback_95c11db3, School: Fallback School
Username: admin_46dd455b, School: Teacher School
Username: teacher_updated_6a645604, School: Teacher School
Username: admin_a205ba2a, School: Teacher School
Username: conflict_fc63d90c, School: Teacher School
Username: admin_4b7ce290, School: Teacher School
Username: admin_b161e50e, School: Teacher School
Username: admin_7cd0512b, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_f6f1ac13, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_7794704c, School: Test School
Username: fallback_ade39949, School: Fallback School
Username: admin_a228bf96, School: Teacher School
Username: teacher_updated_e9f911fb, School: Teacher School
Username: admin_4bf3ce5e, School: Teacher School
Username: conflict_0068ecbe, School: Teacher School
Username: admin_817d5aa8, School: Teacher School
Username: admin_b68a9a65, School: Teacher School
Username: admin_26b120ff, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_6581009b, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_17535090, School: Test School
Username: fallback_47b7cb8e, School: Fallback School
Username: admin_f7e34ebe, School: Teacher School
Username: teacher_updated_c2b4179b, School: Teacher School
Username: admin_0bead32e, School: Teacher School
Username: conflict_6981ad67, School: Teacher School
Username: admin_7af5619f, School: Teacher School
Username: admin_5b81eed2, School: Teacher School
Username: admin_654b9fd2, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_f46c1f1f, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_567bf4b4, School: Test School
Username: fallback_2ef04fa1, School: Fallback School
Username: admin_67d1eb55, School: Teacher School
Username: teacher_updated_12f36bf5, School: Teacher School
Username: admin_0da3190a, School: Teacher School
Username: conflict_9379d5cb, School: Teacher School
Username: admin_cc7ee146, School: Teacher School
Username: admin_8e6621b1, School: Teacher School
Username: admin_d18e2575, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_a61e5e60, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_e9cf43e5, School: Test School
Username: fallback_2ed147e2, School: Fallback School
Username: admin_1deb3e7f, School: Teacher School
Username: teacher_updated_bcd50add, School: Teacher School
Username: admin_412a5e85, School: Teacher School
Username: conflict_c6fb7654, School: Teacher School
Username: admin_6d8051a6, School: Teacher School
Username: admin_b498f0b1, School: Teacher School
Username: admin_b85165ad, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_82c99831, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_d5efdeb3, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_a7bb5fd2, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_8b8b228d, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Ajay
Username: None, School: Ajay
Username: None, School: Ajay
Username: None, School: Ajay
Username: None, School: Ajay
Username: admin_44a13d2f, School: Test School
Username: fallback_2584a45a, School: Fallback School
Username: admin_ce10d7f5, School: Teacher School
Username: teacher_updated_48e3bbe3, School: Teacher School
Username: admin_8be73d7c, School: Teacher School
Username: conflict_30223171, School: Teacher School
Username: admin_767f526c, School: Teacher School
Username: admin_0e818c3a, School: Teacher School
Username: admin_7ba16fa5, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_0f8430ee, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_f7fa63c8, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_eeb2ce76, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_9d2a5387, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: admin_dabad68e, School: Teacher School
Username: teacher_e8089ad7, School: Teacher School
Username: None, School: Teacher School
Username: None, School: Teacher School
Username: ajay11, School: Ajay
Username: pavitra, School: Ajay
Username: TSMS, School: Ajay
